room_id,host_id,room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude
3816449,19551909,Private room,Umyeon-dong,0,,2,1,52,1,37.457657,127.020013
13566187,66839130,Private room,Umyeon-dong,0,,2,1,42,1,37.474695,127.023468
2004649,10320960,Private room,Umyeon-dong,0,,1,1,52,1,37.459976,127.016297
14452898,88629551,Private room,Yangjae-dong,0,,2,1,56,1,37.464148,127.035931
8844973,18973332,Private room,Yangjae-dong,2,,1,1,21,1,37.46857,127.043115
8825232,22719473,Private room,Sinwon-dong,2,,2,1,28,3,37.456525,127.05762
11592305,49772319,Private room,Naegok-dong,0,,4,1,32,7,37.45382,127.064857
8995689,41417580,Private room,Naegok-dong,0,,6,1,22,1,37.453488,127.06394
14188259,46343559,Private room,Yangjae-dong,0,,2,1,27,3,37.474803,127.041235
13664411,27566308,Private room,Sinwon-dong,0,,2,1,40,1,37.450176,127.056709
14171401,46343559,Private room,Yangjae-dong,1,,2,1,27,3,37.473178,127.040711
8934212,46709551,Private room,Jamsil-dong,1,,2,1,61,1,37.511734,127.078535
3416404,6493510,Private room,Pil-dong 3(sam)-ga,2,,4,1,94,1,37.5569,126.996
14110611,75517751,Private room,Yejang-dong,0,,4,1,66,1,37.559656,126.989885
9178973,25245338,Private room,Yejang-dong,0,,2,1,75,1,37.558156,126.991202
4904051,25245338,Private room,Yejang-dong,0,,2,1,56,1,37.558504,126.992001
7134342,33082644,Private room,Myeong-dong 2(i)-ga,0,,4,1,122,1,37.562641,126.98722
13442017,59844608,Private room,Chungmuro 4(sa)-ga,0,,2,1,53,1,37.562324,126.994109
4903719,25245338,Private room,Yejang-dong,7,4.5,3,1,56,1,37.559376,126.991911
7134687,33082644,Private room,Chungmuro 2(i)-ga,1,,2,1,70,1,37.562244,126.987185
3416364,6493510,Private room,Pil-dong 3(sam)-ga,1,,2,1,58,1,37.557258,126.995893
10938618,34245186,Private room,Myeong-dong 2(i)-ga,0,,2,1,89,1,37.562818,126.988102
10457920,16069632,Private room,Namsan-dong 2(i)-ga,1,,4,1,88,1,37.558205,126.987181
6146450,31885233,Private room,Chungmuro 2(i)-ga,0,,4,1,94,,37.561757,126.988735
13066410,4205833,Private room,Chungmuro 4(sa)-ga,0,,2,1,98,1,37.562635,126.997165
3095820,15742651,Private room,Namhak-dong,0,,4,1,140,1,37.560956,126.991366
13336829,75517751,Private room,Yejang-dong,0,,2,1,42,1,37.559639,126.990663
3416050,6493510,Private room,Pil-dong 3(sam)-ga,0,,2,1,64,1,37.555858,126.995594
4000819,19255902,,Yejang-dong,0,,2,,,,37.559335,126.991959
9286024,48220847,Private room,Chungmuro 3(sam)-ga,2,,1,1,24,1,37.56291,126.992463
5586216,28964065,Private room,Chungmuro 4(sa)-ga,3,5,3,1,69,2,37.561799,126.99381
14305164,48526381,Private room,Dongja-dong,0,,2,1,28,1,37.552463,126.975713
1187477,6493510,Private room,Pil-dong 3(sam)-ga,0,,2,1,61,1,37.556787,126.995701
9580360,21745856,Private room,Huam-dong,2,,2,1,52,1,37.548355,126.979595
5007555,25616525,Private room,Namdaemunno 5(o)-ga,1,,1,1,52,1,37.555439,126.975562
9580433,21745856,Private room,Huam-dong,0,,4,1,107,1,37.546656,126.980001
13888760,17062437,Private room,Hoehyeon-dong 1(il)-ga,0,,2,1,52,,37.558636,126.981284
13282250,59844608,Private room,Chungmuro 4(sa)-ga,0,,3,1,67,1,37.562572,126.99462
13497375,77403323,Private room,Myeong-dong 2(i)-ga,1,,2,1,56,1,37.563129,126.984584
13915092,42958231,Private room,Dongja-dong,0,,2,1,42,1,37.552578,126.974901
4796128,24714093,Private room,Hoehyeon-dong 1(il)-ga,4,4.5,2,1,66,1,37.558435,126.980745
8661730,5570380,Private room,Huam-dong,0,,5,1,89,1,37.547507,126.978325
10975229,56943181,Private room,Huam-dong,0,,3,1,46,1,37.546811,126.981452
13336210,75517751,Private room,Yejang-dong,1,,2,1,37,1,37.559421,126.989772
